date,price,total_volume,market_cap,coin_name
2016-01-25 00:00:00.000,0.5841851468158349,73656.15260471721,6317162.029162116,monero
2016-01-26 00:00:00.000,0.594357070559415,81858.87239450747,6432350.940995955,monero
2016-01-27 00:00:00.000,0.6053358889415845,122784.62823846925,6551167.753732958,monero
2016-01-28 00:00:00.000,0.5592060892346588,46938.65855150703,6065130.790038165,monero
2016-01-29 00:00:00.000,0.5126038812339838,79321.47264121144,5564927.179829087,monero
2016-01-30 00:00:00.000,0.5060248209005227,39185.95080028553,5498628.137872589,monero
2016-01-31 00:00:00.000,0.4777980283688272,42088.49534975766,5196711.486396059,monero
2016-02-01 00:00:00.000,0.4921611906761285,37356.14216173538,5357986.626474274,monero
2016-02-02 00:00:00.000,0.493669500285301,20174.539496284437,5379329.937537817,monero
2016-02-03 00:00:00.000,0.4897305989905882,23939.12643189273,5341109.653323133,monero
2016-02-04 00:00:00.000,0.5064305834393799,29083.84527443824,5528607.470458024,monero
2016-02-05 00:00:00.000,0.4928361909542744,48604.48648141501,5385267.877995497,monero
2016-02-06 00:00:00.000,0.480844497173183,35181.73051167918,5258940.006776934,monero
2016-02-07 00:00:00.000,0.4766716007652511,51264.96714963114,5218131.163651215,monero
2016-02-08 00:00:00.000,0.4786712126059319,29072.679453907367,5244902.912162693,monero
2016-02-09 00:00:00.000,0.4659982556986773,36697.44904333568,5110804.647492112,monero
2016-02-10 00:00:00.000,0.4781771851685478,53278.713987922616,5249466.436600761,monero
2016-02-11 00:00:00.000,0.5320636074636647,210126.17315173495,5845973.866038363,monero
2016-02-12 00:00:00.000,0.600671873403057,179976.55042234564,6606129.196499482,monero
2016-02-13 00:00:00.000,0.7998733196960774,1056449.6661502398,8804908.718542736,monero
2016-02-14 00:00:00.000,0.8462566252685886,591671.0404960992,9324095.271270696,monero
2016-02-15 00:00:00.000,0.7902306938573532,450585.368708444,8714454.68072502,monero
2016-02-16 00:00:00.000,0.9514128649153532,863923.6853608809,10501726.59956021,monero
2016-02-17 00:00:00.000,0.7301910539877774,568146.231269513,8067449.412598046,monero
2016-02-18 00:00:00.000,0.7735474872033593,219878.52895061643,8553553.167432789,monero
2016-02-19 00:00:00.000,0.8321805793606118,205514.08531071385,9210347.467065088,monero
2016-02-20 00:00:00.000,0.852313402651133,371604.93180322496,9441514.502568966,monero
2016-02-21 00:00:00.000,0.7966321885474975,181367.8040942698,8833012.298579905,monero
2016-02-22 00:00:00.000,0.7833149568286519,127512.63421415782,8692878.465783719,monero
2016-02-23 00:00:00.000,0.751582204480184,80531.92295354357,8348070.064124473,monero
2016-02-24 00:00:00.000,0.7959674783855205,118077.05037690129,8848915.323292898,monero
2016-02-25 00:00:00.000,0.801192147849968,228439.5628285185,8915368.978987591,monero
2016-02-26 00:00:00.000,0.8148148351033724,72876.16827068766,9074768.003735805,monero
2016-02-27 00:00:00.000,0.8306805468222505,98286.8212103898,9259616.822441297,monero
